year,countrycode,padded_population_of_researchers,paddedpop,number_of_inmigrations,number_of_outmigrations,netmigration,outmigrationrate,inmigrationrate,netmigrationrate
2000.0,ABW,2,2,0,0,0,0.0,0.0,0.0
2002.0,ABW,3,3,0,0,0,0.0,0.0,0.0
2004.0,ABW,2,2,0,0,0,0.0,0.0,0.0
2012.0,ABW,8,8,0,0,0,0.0,0.0,0.0
2013.0,ABW,11,11,1,0,1,0.0,0.09090909,0.09090909
2014.0,ABW,12,12,0,0,0,0.0,0.0,0.0
2015.0,ABW,11,11,0,1,-1,0.09090909,0.0,-0.09090909
2016.0,ABW,8,8,0,2,-2,0.25,0.0,-0.25
2019.0,ABW,18,18,2,0,2,0.0,0.11111111,0.11111111
2020.0,ABW,15,15,0,1,-1,0.06666667,0.0,-0.06666667
2021.0,ABW,18,18,3,0,3,0.0,0.16666667,0.16666667
2001.0,AFG,6,6,0,0,0,0.0,0.0,0.0
2003.0,AFG,11,11,1,1,0,0.09090909,0.09090909,0.0
2004.0,AFG,15,15,4,2,2,0.13333334,0.26666668,0.13333334
2005.0,AFG,20,20,3,1,2,0.05,0.15,0.1
2006.0,AFG,27,27,6,1,5,0.037037037,0.22222222,0.18518518
2007.0,AFG,30,30,4,5,-1,0.16666667,0.13333334,-0.033333335
2008.0,AFG,41,41,2,1,1,0.024390243,0.048780486,0.024390243
2009.0,AFG,64,64,12,5,7,0.078125,0.1875,0.109375
2010.0,AFG,75,75,5,6,-1,0.08,0.06666667,-0.013333334
2011.0,AFG,72,72,7,14,-7,0.19444445,0.097222224,-0.097222224
2012.0,AFG,90,90,13,4,9,0.044444446,0.14444445,0.1
2013.0,AFG,86,86,8,11,-3,0.12790698,0.093023255,-0.034883723
2014.0,AFG,99,99,11,9,2,0.09090909,0.11111111,0.02020202
2015.0,AFG,107,107,7,13,-6,0.12149533,0.06542056,-0.056074765
2016.0,AFG,131,131,6,7,-1,0.053435113,0.045801528,-0.007633588
2017.0,AFG,173,173,19,12,7,0.06936416,0.10982659,0.040462427
2018.0,AFG,229,229,18,5,13,0.02183406,0.07860262,0.05676856
2019.0,AFG,281,281,21,15,6,0.053380784,0.07473309,0.021352313
2020.0,AFG,293,293,27,16,11,0.054607507,0.092150174,0.037542664
2021.0,AFG,278,278,13,16,-3,0.05755396,0.04676259,-0.010791367
1999.0,AGO,12,12,0,0,0,0.0,0.0,0.0
2000.0,AGO,15,15,0,0,0,0.0,0.0,0.0
2001.0,AGO,18,18,2,1,1,0.055555556,0.11111111,0.055555556
