year,countrycode,padded_population_of_researchers,paddedpop,number_of_inmigrations,number_of_outmigrations,netmigration,outmigrationrate,inmigrationrate,netmigrationrate
1997.0,ABW,1,1,0,0,0,0.0,0.0,0.0
2000.0,ABW,2,2,0,0,0,0.0,0.0,0.0
2009.0,ABW,9,9,0,0,0,0.0,0.0,0.0
2010.0,ABW,11,11,1,0,1,0.0,0.09090909,0.09090909
2011.0,ABW,14,14,0,0,0,0.0,0.0,0.0
2012.0,ABW,18,18,1,3,-2,0.16666667,0.055555556,-0.11111111
2013.0,ABW,19,19,1,1,0,0.05263158,0.05263158,0.0
2014.0,ABW,20,20,2,1,1,0.05,0.1,0.05
2015.0,ABW,18,18,2,4,-2,0.22222222,0.11111111,-0.11111111
2016.0,ABW,16,16,0,1,-1,0.0625,0.0,-0.0625
2019.0,ABW,27,27,6,0,6,0.0,0.22222222,0.22222222
2020.0,ABW,24,24,2,4,-2,0.16666667,0.083333336,-0.083333336
2021.0,ABW,27,27,4,3,1,0.11111111,0.14814815,0.037037037
2022.0,ABW,0,0,5,1,4,,,
1999.0,AFG,6,6,1,0,1,0.0,0.16666667,0.16666667
2000.0,AFG,10,10,2,0,2,0.0,0.2,0.2
2001.0,AFG,15,15,0,2,-2,0.13333334,0.0,-0.13333334
2002.0,AFG,18,18,2,1,1,0.055555556,0.11111111,0.055555556
2003.0,AFG,24,24,6,3,3,0.125,0.25,0.125
2004.0,AFG,33,33,7,2,5,0.060606062,0.21212122,0.15151516
2005.0,AFG,39,39,5,6,-1,0.15384616,0.12820514,-0.025641026
2006.0,AFG,50,50,10,6,4,0.12,0.2,0.08
2007.0,AFG,60,60,2,6,-4,0.1,0.033333335,-0.06666667
2008.0,AFG,68,68,6,10,-4,0.14705883,0.0882353,-0.05882353
2009.0,AFG,105,105,22,6,16,0.057142857,0.20952381,0.15238096
2010.0,AFG,124,124,16,13,3,0.10483871,0.12903225,0.024193548
2011.0,AFG,144,144,16,12,4,0.083333336,0.11111111,0.027777778
2012.0,AFG,165,165,15,9,6,0.054545455,0.09090909,0.036363635
2013.0,AFG,157,157,7,16,-9,0.10191083,0.044585988,-0.05732484
2014.0,AFG,171,171,13,14,-1,0.081871346,0.07602339,-0.0058479533
2015.0,AFG,192,192,23,20,3,0.104166664,0.119791664,0.015625
2016.0,AFG,251,251,29,8,21,0.03187251,0.11553785,0.08366534
2017.0,AFG,328,328,45,25,20,0.076219514,0.13719513,0.06097561
2018.0,AFG,421,421,53,22,31,0.052256532,0.12589073,0.07363421
2019.0,AFG,487,487,54,50,4,0.1026694,0.11088296,0.008213553
2020.0,AFG,527,527,47,58,-11,0.11005693,0.08918406,-0.020872865
2021.0,AFG,485,485,27,68,-41,0.14020619,0.055670105,-0.08453608
2022.0,AFG,0,0,26,34,-8,,,
2023.0,AFG,0,0,20,27,-7,,,
1996.0,AGO,10,10,0,0,0,0.0,0.0,0.0
1997.0,AGO,13,13,0,2,-2,0.15384616,0.0,-0.15384616
1998.0,AGO,21,21,3,0,3,0.0,0.14285715,0.14285715
